,area,item,amount [t],comm_group,group
317,Algeria,Palmkernel Oil,0.0,Vegetable oils,Crop products
318,Algeria,Peas,13016.29967745869,"Vegetables, fruit, nuts, pulses, spices",Primary crops
319,Algeria,Pepper,2994.358730807716,"Vegetables, fruit, nuts, pulses, spices",Primary crops
320,Algeria,Pigmeat,952.3848902002305,Meat,Livestock products
321,Algeria,Pigs,2610.734890592229,Live animals,Livestock
322,Algeria,Pimento,18784.361532730156,"Vegetables, fruit, nuts, pulses, spices",Primary crops
323,Algeria,Pineapples and products,2992.9460631653833,"Vegetables, fruit, nuts, pulses, spices",Primary crops
324,Algeria,Plantains,999.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
325,Algeria,Potatoes and products,4869062.564777647,Roots and tubers,Primary crops
326,Algeria,Poultry Birds,240769251.3354537,Live animals,Livestock
327,Algeria,Poultry Meat,267087.39912156394,Meat,Livestock products
328,Algeria,"Pulses, Other and products",198920.83106309018,"Vegetables, fruit, nuts, pulses, spices",Primary crops
329,Algeria,Rabbits and hares,7975776.111251605,Live animals,Livestock
330,Algeria,Rape and Mustard Cake,11788.957358296882,Oil cakes,Crop products
331,Algeria,Rape and Mustard Oil,8727.664484010866,Vegetable oils,Crop products
332,Algeria,Rape and Mustardseed,24070.090025668247,Oil crops,Primary crops
333,Algeria,Rice and products,206776.9643861931,Cereals,Primary crops
334,Algeria,Ricebran Oil,0.0,Vegetable oils,Crop products
335,Algeria,"Rodents, other",0.0,Live animals,Livestock
336,Algeria,"Roots, Other",0.0,Roots and tubers,Primary crops
337,Algeria,Rubber,0.0,"Tobacco, rubber",Primary crops
338,Algeria,Rye and products,0.0,Cereals,Primary crops
339,Algeria,Seed cotton,81.0,Oil crops,Primary crops
340,Algeria,Sesame seed,6032.822773791244,Oil crops,Primary crops
341,Algeria,Sesameseed Cake,0.0,Oil cakes,Crop products
342,Algeria,Sesameseed Oil,0.0,Vegetable oils,Crop products
343,Algeria,Sheep,17666920.193326473,Live animals,Livestock
344,Algeria,Silk,0.0,"Hides, skins, wool",Livestock products
345,Algeria,Sisal,0.0,Fibre crops,Primary crops
346,Algeria,"Soft-Fibres, Other",0.0,Fibre crops,Primary crops
347,Algeria,Sorghum and products,256.0,Cereals,Primary crops
348,Algeria,Soyabean Cake,688787.2652389373,Oil cakes,Crop products
349,Algeria,Soyabean Oil,621887.9676551253,Vegetable oils,Crop products
350,Algeria,Soyabeans,510878.2902055551,Oil crops,Primary crops
351,Algeria,"Spices, Other",13923.177095418218,"Vegetables, fruit, nuts, pulses, spices",Primary crops
352,Algeria,Sugar (Raw Equivalent),2008343.104046622,"Sugar, sweeteners",Crop products
353,Algeria,Sugar beet,0.0,Sugar crops,Primary crops
354,Algeria,Sugar cane,0.0,Sugar crops,Primary crops
355,Algeria,Sugar non-centrifugal,0.0,"Sugar, sweeteners",Crop products
356,Algeria,Sunflower seed,10353.926271672313,Oil crops,Primary crops
357,Algeria,Sunflowerseed Cake,10126.945761028128,Oil cakes,Crop products
358,Algeria,Sunflowerseed Oil,48795.32764969872,Vegetable oils,Crop products
359,Algeria,Sweet potatoes,0.0,Roots and tubers,Primary crops
360,Algeria,"Sweeteners, Other",169982.7137849616,"Sugar, sweeteners",Crop products
361,Algeria,Tea (including mate),14981.282704353182,"Coffee, tea, cocoa",Primary crops
362,Algeria,Tobacco,34457.65043579212,"Tobacco, rubber",Primary crops
363,Algeria,Tomatoes and products,1746633.9998281826,"Vegetables, fruit, nuts, pulses, spices",Primary crops
364,Algeria,"Vegetables, Other",7021746.040480716,"Vegetables, fruit, nuts, pulses, spices",Primary crops
365,Algeria,Wheat and products,5912779.593731022,Cereals,Primary crops
366,Algeria,Wine,26835.172930464225,Alcohol,Crop products
367,Algeria,Wool (Clean Eq.),37732.14327811298,"Hides, skins, wool",Livestock products
368,Algeria,Yams,0.0,Roots and tubers,Primary crops
369,Angola,Abaca,0.0,Fibre crops,Primary crops
370,Angola,"Alcohol, Non-Food",45222.29280637161,Ethanol,Crop products
371,Angola,Apples and products,6992.675787592318,"Vegetables, fruit, nuts, pulses, spices",Primary crops
372,Angola,Asses,0.0,Live animals,Livestock
373,Angola,Bananas,4115000.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
